as: [922, 0.010849484002306398]
can't: [84, 0.0009884562431602358]
down: [83, 0.0009766889069321378]
people: [83, 0.0009766889069321378]
few: [83, 0.0009766889069321378]
her: [83, 0.0009766889069321378]
more than: [83, 0.19951923076923078]
it's a: [82, 0.14774774774774774]
see: [82, 0.0009649215707040397]
by the: [82, 0.19759036144578312]
here: [81, 0.0009531542344759417]
as the: [81, 0.0878524945770065]
don't: [80, 0.0009413868982478436]
two: [79, 0.0009296195620197455]
were: [79, 0.0009296195620197455]
big: [79, 0.0009296195620197455]
audience: [79, 0.0009296195620197455]
without: [78, 0.0009178522257916476]
from the: [77, 0.23765432098765432]
life: [77, 0.0009060848895635495]
kind: [77, 0.0009060848895635495]
hard: [76, 0.0008943175533354514]
but it: [75, 0.08771929824561403]
rather: [75, 0.0008825502171073534]
love: [75, 0.0008825502171073534]
character: [74, 0.0008707828808792553]
almost: [74, 0.0008707828808792553]
such: [73, 0.0008590155446511573]
interesting: [73, 0.0008590155446511573]
dull: [73, 0.0008590155446511573]
drama: [72, 0.0008472482084230593]
those: [72, 0.0008472482084230593]
me: [71, 0.0008354808721949612]
far: [71, 0.0008354808721949612]
films: [70, 0.0008237135359668631]
out of: [70, 0.3181818181818182]
things: [70, 0.0008237135359668631]
where: [70, 0.0008237135359668631]
kind of: [70, 0.9090909090909091]
between: [69, 0.0008119461997387652]
best: [69, 0.0008119461997387652]
ultimately: [69, 0.0008119461997387652]
feel: [69, 0.0008119461997387652]
sense: [68, 0.0008001788635106671]
though: [68, 0.0008001788635106671]
end: [68, 0.0008001788635106671]
then: [68, 0.0008001788635106671]
quite: [68, 0.0008001788635106671]
watching: [67, 0.000788411527282569]
before: [67, 0.000788411527282569]
same: [67, 0.000788411527282569]
after: [66, 0.000776644191054471]
itself: [66, 0.000776644191054471]
had: [66, 0.000776644191054471]
go: [65, 0.0007648768548263729]
despite: [65, 0.0007648768548263729]
than a: [65, 0.17015706806282724]
humor: [65, 0.0007648768548263729]
comes: [64, 0.000753109518598275]
dialogue: [64, 0.000753109518598275]
film's: [63, 0.0007413421823701769]
first: [62, 0.0007295748461420788]
because: [62, 0.0007295748461420788]
material: [61, 0.0007178075099139808]
its own: [61, 0.0959119496855346]
cast: [61, 0.0007178075099139808]
acting: [61, 0.0007178075099139808]
ever: [60, 0.0007060401736858827]
old: [60, 0.0007060401736858827]
look: [60, 0.0007060401736858827]
lot: [59, 0.0006942728374577847]
screen: [59, 0.0006942728374577847]
my: [59, 0.0006942728374577847]
real: [59, 0.0006942728374577847]
gets: [59, 0.0006942728374577847]
movie that: [59, 0.07783641160949868]
often: [58, 0.0006825055012296867]
seem: [58, 0.0006825055012296867]
be a: [58, 0.11153846153846154]
these: [58, 0.0006825055012296867]
still: [58, 0.0006825055012296867]
you're: [57, 0.0006707381650015886]
at the: [57, 0.168141592920354]
picture: [57, 0.0006707381650015886]
silly: [56, 0.0006589708287734905]
find: [56, 0.0006589708287734905]
also: [56, 0.0006589708287734905]
why: [56, 0.0006589708287734905]
come: [55, 0.0006472034925453926]
hollywood: [55, 0.0006472034925453926]
great: [55, 0.0006472034925453926]
title: [54, 0.0006354361563172945]
video: [54, 0.0006354361563172945]
thriller: [54, 0.0006354361563172945]
boring: [54, 0.0006354361563172945]
anyone: [54, 0.0006354361563172945]
original: [53, 0.0006236688200891964]
point: [53, 0.0006236688200891964]
whole: [53, 0.0006236688200891964]
full: [53, 0.0006236688200891964]
instead: [52, 0.0006119014838610984]
scenes: [52, 0.0006119014838610984]
fun: [52, 0.0006119014838610984]
moments: [52, 0.0006119014838610984]
worst: [52, 0.0006119014838610984]
think: [51, 0.0006001341476330003]
going: [51, 0.0006001341476330003]
from a: [51, 0.1574074074074074]
anything: [51, 0.0006001341476330003]
yet: [51, 0.0006001341476330003]
enough to: [51, 0.36428571428571427]
seen: [50, 0.0005883668114049022]
back: [50, 0.0005883668114049022]
takes: [50, 0.0005883668114049022]
watch: [49, 0.0005765994751768043]
idea: [49, 0.0005765994751768043]
film that: [49, 0.07865168539325842]
say: [49, 0.0005765994751768043]
about the: [48, 0.12972972972972974]
actors: [48, 0.0005648321389487062]
predictable: [48, 0.0005648321389487062]
series: [48, 0.0005648321389487062]
times: [47, 0.0005530648027206081]
take: [47, 0.0005530648027206081]
performances: [47, 0.0005530648027206081]
on a: [47, 0.09978768577494693]
premise: [47, 0.0005530648027206081]
right: [47, 0.0005530648027206081]
least: [47, 0.0005530648027206081]
tale: [47, 0.0005530648027206081]
both: [47, 0.0005530648027206081]
it's not: [46, 0.08288288288288288]
know: [46, 0.0005412974664925101]
lack: [46, 0.0005412974664925101]
if you: [46, 0.1684981684981685]
once: [46, 0.0005412974664925101]
care: [45, 0.0005295301302644121]
last: [45, 0.0005295301302644121]
special: [45, 0.0005295301302644121]
plays: [45, 0.0005295301302644121]
problem: [45, 0.0005295301302644121]
laughs: [45, 0.0005295301302644121]
has a: [45, 0.13636363636363635]
flick: [45, 0.0005295301302644121]
mess: [44, 0.000517762794036314]
de: [44, 0.000517762794036314]
performance: [44, 0.000517762794036314]
again: [44, 0.000517762794036314]
high: [44, 0.000517762794036314]
simply: [44, 0.000517762794036314]
pretty: [43, 0.000505995457808216]
would be: [43, 0.2905405405405405]
man: [43, 0.000505995457808216]
making: [43, 0.000505995457808216]
fails: [43, 0.000505995457808216]
hard to: [43, 0.5657894736842105]
too much: [43, 0.1178082191780822]
exercise: [42, 0.0004942281215801179]
so much: [42, 0.12138728323699421]
as it: [42, 0.0455531453362256]
actually: [42, 0.0004942281215801179]
want: [42, 0.0004942281215801179]
nearly: [42, 0.0004942281215801179]
everything: [42, 0.0004942281215801179]
becomes: [42, 0.0004942281215801179]
neither: [42, 0.0004942281215801179]
short: [42, 0.0004942281215801179]
trying: [42, 0.0004942281215801179]
jokes: [42, 0.0004942281215801179]
goes: [41, 0.00048246078535201984]
than the: [41, 0.10732984293193717]
need: [41, 0.00048246078535201984]
probably: [40, 0.0004706934491239218]
tv: [40, 0.0004706934491239218]
john: [40, 0.0004706934491239218]
american: [40, 0.0004706934491239218]
screenplay: [40, 0.0004706934491239218]
most of: [40, 0.24691358024691357]
romantic: [40, 0.0004706934491239218]
like the: [40, 0.09111617312072894]
show: [40, 0.0004706934491239218]
lacks: [40, 0.0004706934491239218]
away: [40, 0.0004706934491239218]
documentary: [39, 0.0004589261128958238]
star: [39, 0.0004589261128958238]
else: [39, 0.0004589261128958238]
half: [39, 0.0004589261128958238]
matter: [39, 0.0004589261128958238]
since: [39, 0.0004589261128958238]
world: [39, 0.0004589261128958238]
sort: [38, 0.0004471587766677257]
young: [38, 0.0004471587766677257]
flat: [38, 0.0004471587766677257]
as if: [38, 0.04121475054229935]
next: [38, 0.0004471587766677257]
direction: [38, 0.0004471587766677257]
could have: [38, 0.33043478260869563]
subject: [37, 0.0004353914404396277]
movie's: [37, 0.0004353914404396277]
tries: [37, 0.0004353914404396277]
around: [37, 0.0004353914404396277]
fans: [37, 0.0004353914404396277]
reason: [37, 0.0004353914404396277]
by a: [37, 0.0891566265060241]
sense of: [37, 0.5441176470588235]
cinematic: [37, 0.0004353914404396277]
there are: [37, 0.2803030303030303]
not a: [37, 0.08486238532110092]
clever: [37, 0.0004353914404396277]
obvious: [37, 0.0004353914404396277]
there is: [36, 0.2727272727272727]
turns: [36, 0.00042362410421152965]
set: [36, 0.00042362410421152965]
lack of: [36, 0.782608695652174]
theater: [36, 0.00042362410421152965]
pretentious: [36, 0.00042362410421152965]
feels like: [36, 0.33962264150943394]
likely: [36, 0.00042362410421152965]
you'll: [36, 0.00042362410421152965]
trying to: [36, 0.8571428571428571]
ending: [36, 0.00042362410421152965]
entertainment: [36, 0.00042362410421152965]
kids: [36, 0.00042362410421152965]
done: [36, 0.00042362410421152965]
already: [35, 0.00041185676798343156]
didn't: [35, 0.00041185676798343156]
sort of: [35, 0.9210526315789473]
fact: [35, 0.00041185676798343156]
worth: [35, 0.00041185676798343156]
him: [35, 0.00041185676798343156]
interest: [35, 0.00041185676798343156]
left: [35, 0.00041185676798343156]
but it's: [35, 0.04093567251461988]
at least: [35, 0.10324483775811209]
will be: [34, 0.19428571428571428]
want to: [34, 0.8095238095238095]
place: [34, 0.00040008943175533354]
narrative: [34, 0.00040008943175533354]
nor: [34, 0.00040008943175533354]
filmmakers: [34, 0.00040008943175533354]
should be: [34, 0.29310344827586204]
just a: [34, 0.11724137931034483]
would have: [34, 0.22972972972972974]
such a: [33, 0.4520547945205479]
may be: [33, 0.3173076923076923]
emotional: [33, 0.0003883220955272355]
looking: [33, 0.0003883220955272355]
effects: [33, 0.0003883220955272355]
bit: [33, 0.0003883220955272355]
looks: [33, 0.0003883220955272355]
too many: [33, 0.09041095890410959]
seems to: [33, 0.38823529411764707]
sometimes: [33, 0.0003883220955272355]
you can: [33, 0.0829145728643216]
beyond: [33, 0.0003883220955272355]
ends: [33, 0.0003883220955272355]
together: [33, 0.0003883220955272355]
give: [32, 0.0003765547592991375]
falls: [32, 0.0003765547592991375]
she: [32, 0.0003765547592991375]
three: [32, 0.0003765547592991375]
attempt: [32, 0.0003765547592991375]
rather than: [32, 0.4266666666666667]
keep: [32, 0.0003765547592991375]
now: [32, 0.0003765547592991375]
dumb: [32, 0.0003765547592991375]
men: [31, 0.0003647874230710394]
what's: [31, 0.0003647874230710394]
visual: [31, 0.0003647874230710394]
gags: [31, 0.0003647874230710394]
completely: [31, 0.0003647874230710394]
put: [31, 0.0003647874230710394]
much of: [31, 0.1336206896551724]
fails to: [31, 0.7209302325581395]
hours: [31, 0.0003647874230710394]
years: [31, 0.0003647874230710394]
home: [31, 0.0003647874230710394]
instead of: [30, 0.5769230769230769]
he's: [30, 0.00035302008684294137]
on its: [30, 0.06369426751592357]
opera: [30, 0.00035302008684294137]
effort: [30, 0.00035302008684294137]
viewers: [30, 0.00035302008684294137]
plays like: [30, 0.6666666666666666]
you've: [30, 0.00035302008684294137]
dark: [30, 0.00035302008684294137]
horror: [30, 0.00035302008684294137]
if it: [30, 0.10989010989010989]
should have: [30, 0.25862068965517243]
when it: [30, 0.1935483870967742]
contrived: [30, 0.00035302008684294137]
melodrama: [29, 0.00034125275061484334]
style: [29, 0.00034125275061484334]
none: [29, 0.00034125275061484334]
either: [29, 0.00034125275061484334]
family: [29, 0.00034125275061484334]
barely: [29, 0.00034125275061484334]
certainly: [29, 0.00034125275061484334]
i'm: [29, 0.00034125275061484334]
familiar: [29, 0.00034125275061484334]
music: [29, 0.00034125275061484334]
have a: [29, 0.07967032967032966]
under: [29, 0.00034125275061484334]
comic: [29, 0.00034125275061484334]
year: [29, 0.00034125275061484334]
ideas: [29, 0.00034125275061484334]
whose: [29, 0.00034125275061484334]
about a: [29, 0.07837837837837838]
tedious: [28, 0.00032948541438674526]
exercise in: [28, 0.6666666666666666]
through the: [28, 0.25925925925925924]
true: [28, 0.00032948541438674526]
stupid: [28, 0.00032948541438674526]
there's no: [28, 0.20437956204379562]
version: [28, 0.00032948541438674526]
slow: [28, 0.00032948541438674526]
dramatic: [28, 0.00032948541438674526]
if the: [28, 0.10256410256410256]
project: [28, 0.00032948541438674526]
production: [28, 0.00032948541438674526]
black: [28, 0.00032948541438674526]
play: [28, 0.00032948541438674526]
tired: [28, 0.00032948541438674526]
formula: [28, 0.00032948541438674526]
hour: [28, 0.00032948541438674526]
entertaining: [28, 0.00032948541438674526]
soap: [28, 0.00032948541438674526]
level: [28, 0.00032948541438674526]
up to: [28, 0.12612612612612611]
wrong: [28, 0.00032948541438674526]
gives: [28, 0.00032948541438674526]
become: [27, 0.00031771807815864723]
along: [27, 0.00031771807815864723]
fact that: [27, 0.7714285714285715]
leaves: [27, 0.00031771807815864723]
worse: [27, 0.00031771807815864723]
lot of: [27, 0.4576271186440678]
bland: [27, 0.00031771807815864723]
day: [27, 0.00031771807815864723]
suspense: [27, 0.00031771807815864723]
some of: [27, 0.1588235294117647]
mr: [27, 0.00031771807815864723]
debut: [27, 0.00031771807815864723]
talent: [27, 0.00031771807815864723]
violence: [27, 0.00031771807815864723]
directed: [27, 0.00031771807815864723]
war: [27, 0.00031771807815864723]
art: [27, 0.00031771807815864723]
but not: [26, 0.0304093567251462]
might have: [26, 0.2708333333333333]
mostly: [26, 0.0003059507419305492]
imagine: [26, 0.0003059507419305492]
line: [26, 0.0003059507419305492]
heart: [26, 0.0003059507419305492]
unfunny: [26, 0.0003059507419305492]
women: [26, 0.0003059507419305492]
exactly: [26, 0.0003059507419305492]
charm: [26, 0.0003059507419305492]
wit: [26, 0.0003059507419305492]
thin: [26, 0.0003059507419305492]
can be: [26, 0.15204678362573099]
as an: [26, 0.028199566160520606]
feeling: [26, 0.0003059507419305492]
sure: [26, 0.0003059507419305492]
classic: [26, 0.0003059507419305492]
starts: [26, 0.0003059507419305492]
amusing: [26, 0.0003059507419305492]
piece: [26, 0.0003059507419305492]
part: [26, 0.0003059507419305492]
cliches: [26, 0.0003059507419305492]
gone: [26, 0.0003059507419305492]
whether: [26, 0.0003059507419305492]
past: [26, 0.0003059507419305492]
scene: [26, 0.0003059507419305492]
for its: [25, 0.0327653997378768]
while the: [25, 0.2604166666666667]
did: [25, 0.0002941834057024511]
about as: [25, 0.06756756756756757]
mediocre: [25, 0.0002941834057024511]
suffers: [25, 0.0002941834057024511]
won't: [25, 0.0002941834057024511]
romance: [25, 0.0002941834057024511]
genre: [25, 0.0002941834057024511]
death: [25, 0.0002941834057024511]
especially: [25, 0.0002941834057024511]
human: [25, 0.0002941834057024511]
it's just: [25, 0.04504504504504504]
mystery: [25, 0.0002941834057024511]
enjoy: [25, 0.0002941834057024511]
generic: [25, 0.0002941834057024511]
actor: [25, 0.0002941834057024511]
concept: [24, 0.0002824160694743531]
unfortunately: [24, 0.0002824160694743531]
compelling: [24, 0.0002824160694743531]
guy: [24, 0.0002824160694743531]
over the: [24, 0.27906976744186046]
none of: [24, 0.8275862068965517]
believe: [24, 0.0002824160694743531]
getting: [24, 0.0002824160694743531]
romantic comedy: [24, 0.6]
leave: [24, 0.0002824160694743531]
cold: [24, 0.0002824160694743531]
although: [24, 0.0002824160694743531]
have to: [24, 0.06593406593406594]
loud: [24, 0.0002824160694743531]
waste: [24, 0.0002824160694743531]
tell: [24, 0.0002824160694743531]
be the: [24, 0.046153846153846156]
add: [24, 0.0002824160694743531]
difficult: [24, 0.0002824160694743531]
shot: [24, 0.0002824160694743531]
routine: [24, 0.0002824160694743531]
school: [24, 0.0002824160694743531]
story is: [23, 0.10454545454545454]
serious: [23, 0.00027064873324625507]
tries to: [23, 0.6216216216216216]
laugh: [23, 0.00027064873324625507]
if you're: [23, 0.08424908424908426]
mind: [23, 0.00027064873324625507]
badly: [23, 0.00027064873324625507]
message: [23, 0.00027064873324625507]
at a: [23, 0.06784660766961652]
awful: [23, 0.00027064873324625507]
off the: [23, 0.21495327102803738]
offers: [23, 0.00027064873324625507]
with its: [23, 0.033973412112259974]
running: [23, 0.00027064873324625507]
low: [23, 0.00027064873324625507]
truly: [23, 0.00027064873324625507]
himself: [23, 0.00027064873324625507]
each: [23, 0.00027064873324625507]
they're: [23, 0.00027064873324625507]
case: [23, 0.00027064873324625507]
when the: [23, 0.14838709677419354]
given: [23, 0.00027064873324625507]
works: [23, 0.00027064873324625507]
which is: [23, 0.1678832116788321]
going to: [23, 0.45098039215686275]
audiences: [23, 0.00027064873324625507]
crime: [23, 0.00027064873324625507]
supposed: [23, 0.00027064873324625507]
ugly: [23, 0.00027064873324625507]
nothing more: [23, 0.19008264462809918]
writing: [23, 0.00027064873324625507]
manages: [23, 0.00027064873324625507]
satire: [22, 0.000258881397018157]
minutes of: [22, 0.2222222222222222]
there's a: [22, 0.16058394160583941]
reality: [22, 0.000258881397018157]
our: [22, 0.000258881397018157]
easy: [22, 0.000258881397018157]
more like: [22, 0.052884615384615384]
result: [22, 0.000258881397018157]
someone: [22, 0.000258881397018157]
sit: [22, 0.000258881397018157]
earnest: [22, 0.000258881397018157]
taste: [22, 0.000258881397018157]
quirky: [22, 0.000258881397018157]
head: [22, 0.000258881397018157]
dead: [22, 0.000258881397018157]
full of: [22, 0.41509433962264153]
spy: [22, 0.000258881397018157]
remains: [22, 0.000258881397018157]
occasionally: [22, 0.000258881397018157]
feature: [22, 0.000258881397018157]
you'd: [22, 0.000258881397018157]
stuff: [22, 0.000258881397018157]
entire: [22, 0.000258881397018157]
all of: [22, 0.0625]
intelligence: [22, 0.000258881397018157]
side: [22, 0.000258881397018157]
sweet: [22, 0.000258881397018157]
it's hard: [22, 0.03963963963963964]
got: [22, 0.000258881397018157]
experience: [22, 0.000258881397018157]
wants: [22, 0.000258881397018157]
particularly: [22, 0.000258881397018157]
everyone: [22, 0.000258881397018157]
has been: [22, 0.06666666666666667]
except: [21, 0.00024711406079005896]
book: [21, 0.00024711406079005896]
version of: [21, 0.75]
suffers from: [21, 0.84]
characters are: [21, 0.1242603550295858]
final: [21, 0.00024711406079005896]
thought: [21, 0.00024711406079005896]
turn: [21, 0.00024711406079005896]
needs: [21, 0.00024711406079005896]
energy: [21, 0.00024711406079005896]
not to: [21, 0.0481651376146789]
overall: [21, 0.00024711406079005896]
straight: [21, 0.00024711406079005896]
children: [21, 0.00024711406079005896]
sci-fi: [21, 0.00024711406079005896]
has all: [21, 0.06363636363636363]
close: [21, 0.00024711406079005896]
little more: [21, 0.12138728323699421]
lacking: [21, 0.00024711406079005896]
series of: [21, 0.4375]
single: [21, 0.00024711406079005896]
future: [21, 0.00024711406079005896]
having: [20, 0.0002353467245619609]
has the: [20, 0.06060606060606061]
shows: [20, 0.0002353467245619609]
lost: [20, 0.0002353467245619609]
viewer: [20, 0.0002353467245619609]
impossible: [20, 0.0002353467245619609]
90: [20, 0.0002353467245619609]
but a: [20, 0.023391812865497075]
maybe: [20, 0.0002353467245619609]
all its: [20, 0.056818181818181816]
joke: [20, 0.0002353467245619609]
heavy: [20, 0.0002353467245619609]
sequel: [20, 0.0002353467245619609]
off as: [20, 0.18691588785046728]
up with: [20, 0.09009009009009009]
run: [20, 0.0002353467245619609]
quickly: [20, 0.0002353467245619609]
social: [20, 0.0002353467245619609]
tone: [20, 0.0002353467245619609]
during: [20, 0.0002353467245619609]
game: [20, 0.0002353467245619609]
cartoon: [20, 0.0002353467245619609]
plain: [20, 0.0002353467245619609]
storytelling: [20, 0.0002353467245619609]
animation: [20, 0.0002353467245619609]
soap opera: [20, 0.7142857142857143]
ends up: [20, 0.6060606060606061]
formulaic: [20, 0.0002353467245619609]
wants to: [20, 0.9090909090909091]
like this: [20, 0.04555808656036447]
like it: [20, 0.04555808656036447]
strong: [20, 0.0002353467245619609]
several: [20, 0.0002353467245619609]
what is: [20, 0.10638297872340426]
it's the: [20, 0.036036036036036036]
written: [20, 0.0002353467245619609]
supposed to: [20, 0.8695652173913043]
for all: [20, 0.02621231979030144]
doing: [20, 0.0002353467245619609]
days: [20, 0.0002353467245619609]
fascinating: [20, 0.0002353467245619609]
pacing: [20, 0.0002353467245619609]
sad: [20, 0.0002353467245619609]
merely: [20, 0.0002353467245619609]
but this: [20, 0.023391812865497075]
college: [20, 0.0002353467245619609]
it's so: [19, 0.03423423423423423]
points: [19, 0.00022357938833386285]
attempts: [19, 0.00022357938833386285]
care about: [19, 0.4222222222222222]
start: [19, 0.00022357938833386285]
looking for: [19, 0.5757575757575758]
problem with: [19, 0.4222222222222222]
sex: [19, 0.00022357938833386285]
lame: [19, 0.00022357938833386285]
dog: [19, 0.00022357938833386285]
behind: [19, 0.00022357938833386285]
guys: [19, 0.00022357938833386285]
movie in: [19, 0.025065963060686015]
at all: [19, 0.05604719764011799]
drag: [19, 0.00022357938833386285]
light: [19, 0.00022357938833386285]
recent: [19, 0.00022357938833386285]
money: [19, 0.00022357938833386285]
you have: [19, 0.04773869346733668]
might be: [19, 0.19791666666666666]
found: [19, 0.00022357938833386285]
scary: [19, 0.00022357938833386285]
but ultimately: [19, 0.022222222222222223]
despite the: [19, 0.2923076923076923]
lots: [19, 0.00022357938833386285]
lots of: [19, 1.0]
approach: [19, 0.00022357938833386285]
look at: [19, 0.31666666666666665]
teen: [19, 0.00022357938833386285]
finally: [19, 0.00022357938833386285]
make a: [19, 0.14960629921259844]
people who: [19, 0.2289156626506024]
mildly: [19, 0.00022357938833386285]
elements: [19, 0.00022357938833386285]
rock: [19, 0.00022357938833386285]
so many: [19, 0.05491329479768786]
sustain: [19, 0.00022357938833386285]
camera: [19, 0.00022357938833386285]
seriously: [19, 0.00022357938833386285]
episode: [19, 0.00022357938833386285]
always: [19, 0.00022357938833386285]
way of: [19, 0.14393939393939395]
decent: [18, 0.00021181205210576482]
remake: [18, 0.00021181205210576482]
moment: [18, 0.00021181205210576482]
you might: [18, 0.04522613065326633]
forced: [18, 0.00021181205210576482]
lead: [18, 0.00021181205210576482]
however: [18, 0.00021181205210576482]
seeing: [18, 0.00021181205210576482]
coming: [18, 0.00021181205210576482]
way to: [18, 0.13636363636363635]
offer: [18, 0.00021181205210576482]
with an: [18, 0.026587887740029542]
try: [18, 0.00021181205210576482]
point of: [18, 0.33962264150943394]
as its: [18, 0.019522776572668113]
special effects: [18, 0.4]
too long: [18, 0.049315068493150684]
hero: [18, 0.00021181205210576482]
its title: [18, 0.02830188679245283]
four: [18, 0.00021181205210576482]
at its: [18, 0.05309734513274336]
fresh: [18, 0.00021181205210576482]
history: [18, 0.00021181205210576482]
power: [18, 0.00021181205210576482]
feel like: [18, 0.2608695652173913]
sequences: [18, 0.00021181205210576482]
cheap: [18, 0.00021181205210576482]
fine: [18, 0.00021181205210576482]
television: [18, 0.00021181205210576482]
poorly: [18, 0.00021181205210576482]
act: [18, 0.00021181205210576482]
situations: [18, 0.00021181205210576482]
movie but: [18, 0.023746701846965697]
saw: [18, 0.00021181205210576482]
call: [18, 0.00021181205210576482]
until: [18, 0.00021181205210576482]
must: [18, 0.00021181205210576482]
latest: [18, 0.00021181205210576482]
manages to: [18, 0.782608695652174]
filmmaking: [18, 0.00021181205210576482]
study: [17, 0.00020004471587766677]
stale: [17, 0.00020004471587766677]
engaging: [17, 0.00020004471587766677]
execution: [17, 0.00020004471587766677]
girl: [17, 0.00020004471587766677]
much as: [17, 0.07327586206896551]
above: [17, 0.00020004471587766677]
pictures: [17, 0.00020004471587766677]
out to: [17, 0.07727272727272727]
90 minutes: [17, 0.85]
has no: [17, 0.051515151515151514]
by its: [17, 0.04096385542168675]
heavy-handed: [17, 0.00020004471587766677]
even if: [17, 0.08415841584158416]
any of: [17, 0.1328125]
pointless: [17, 0.00020004471587766677]
complete: [17, 0.00020004471587766677]
better than: [17, 0.1650485436893204]
it's also: [17, 0.03063063063063063]
not only: [17, 0.0389908256880734]
clear: [17, 0.00020004471587766677]
running time: [17, 0.7391304347826086]
creepy: [17, 0.00020004471587766677]
uneven: [17, 0.00020004471587766677]
writer-director: [17, 0.00020004471587766677]
without the: [17, 0.21794871794871795]
likely to: [17, 0.4722222222222222]
just another: [17, 0.05862068965517241]
wild: [17, 0.00020004471587766677]
–: [17, 0.00020004471587766677]
taken: [17, 0.00020004471587766677]
than it: [17, 0.04450261780104712]
small: [17, 0.00020004471587766677]
as well: [17, 0.01843817787418655]
loses: [17, 0.00020004471587766677]
second: [17, 0.00020004471587766677]
career: [17, 0.00020004471587766677]
poor: [17, 0.00020004471587766677]
virtually: [17, 0.00020004471587766677]
disguise: [17, 0.00020004471587766677]
car: [17, 0.00020004471587766677]
playing: [17, 0.00020004471587766677]
