with: [883, 0.010551598871946847]
should: [67, 0.0008006309449835094]
audience: [67, 0.0008006309449835094]
better: [66, 0.0007886812293867406]
seen: [66, 0.0007886812293867406]
cinema: [65, 0.0007767315137899718]
as it: [65, 0.07394766780432309]
far: [65, 0.0007767315137899718]
moving: [65, 0.0007767315137899718]
look at: [65, 0.5462184873949579]
every: [64, 0.000764781798193203]
full: [63, 0.0007528320825964342]
music: [62, 0.0007408823669996654]
you're: [62, 0.0007408823669996654]
these: [62, 0.0007408823669996654]
kind of: [62, 0.8985507246376812]
for a: [62, 0.09212481426448738]
movie that: [62, 0.12156862745098039]
isn't: [62, 0.0007408823669996654]
feel: [61, 0.0007289326514028966]
like a: [61, 0.21708185053380782]
don't: [61, 0.0007289326514028966]
sense of: [61, 0.7922077922077922]
moments: [61, 0.0007289326514028966]
hollywood: [61, 0.0007289326514028966]
my: [60, 0.0007169829358061278]
might: [60, 0.0007169829358061278]
screen: [60, 0.0007169829358061278]
all the: [60, 0.20761245674740483]
years: [59, 0.000705033220209359]
fascinating: [59, 0.000705033220209359]
long: [59, 0.000705033220209359]
gives: [59, 0.000705033220209359]
part: [59, 0.000705033220209359]
plot: [59, 0.000705033220209359]
off: [58, 0.0006930835046125903]
piece: [58, 0.0006930835046125903]
over: [58, 0.0006930835046125903]
right: [58, 0.0006930835046125903]
action: [58, 0.0006930835046125903]
quite: [57, 0.0006811337890158214]
few: [56, 0.0006691840734190526]
here: [55, 0.0006572343578222839]
young: [55, 0.0006572343578222839]
history: [55, 0.0006572343578222839]
do: [55, 0.0006572343578222839]
emotional: [55, 0.0006572343578222839]
if you: [54, 0.20454545454545456]
always: [54, 0.000645284642225515]
times: [54, 0.000645284642225515]
man: [54, 0.000645284642225515]
almost: [53, 0.0006333349266287462]
original: [53, 0.0006333349266287462]
enjoyable: [53, 0.0006333349266287462]
manages: [52, 0.0006213852110319774]
lot: [52, 0.0006213852110319774]
nothing: [52, 0.0006213852110319774]
takes: [52, 0.0006213852110319774]
another: [52, 0.0006213852110319774]
sometimes: [51, 0.0006094354954352087]
itself: [51, 0.0006094354954352087]
experience: [51, 0.0006094354954352087]
sweet: [51, 0.0006094354954352087]
interesting: [51, 0.0006094354954352087]
go: [50, 0.0005974857798384398]
offers: [50, 0.0005974857798384398]
give: [50, 0.0005974857798384398]
end: [50, 0.0005974857798384398]
more than: [50, 0.1607717041800643]
portrait: [50, 0.0005974857798384398]
comes: [49, 0.000585536064241671]
actors: [49, 0.000585536064241671]
less: [49, 0.000585536064241671]
watching: [49, 0.000585536064241671]
find: [49, 0.000585536064241671]
seems: [49, 0.000585536064241671]
but the: [48, 0.061381074168797956]
movie is: [48, 0.09411764705882353]
year: [48, 0.0005735863486449023]
watch: [48, 0.0005735863486449023]
keep: [48, 0.0005735863486449023]
entertainment: [47, 0.0005616366330481335]
powerful: [47, 0.0005616366330481335]
back: [47, 0.0005616366330481335]
bit: [47, 0.0005616366330481335]
once: [47, 0.0005616366330481335]
ultimately: [46, 0.0005496869174513646]
true: [46, 0.0005496869174513646]
kids: [46, 0.0005496869174513646]
smart: [46, 0.0005496869174513646]
old: [46, 0.0005496869174513646]
together: [46, 0.0005496869174513646]
style: [46, 0.0005496869174513646]
acting: [46, 0.0005496869174513646]
cinematic: [46, 0.0005496869174513646]
you'll: [46, 0.0005496869174513646]
despite: [46, 0.0005496869174513646]
come: [46, 0.0005496869174513646]
rare: [45, 0.0005377372018545959]
want: [45, 0.0005377372018545959]
manages to: [45, 0.8653846153846154]
charming: [45, 0.0005377372018545959]
gets: [45, 0.0005377372018545959]
beautiful: [45, 0.0005377372018545959]
mr: [45, 0.0005377372018545959]
scenes: [45, 0.0005377372018545959]
subject: [45, 0.0005377372018545959]
solid: [45, 0.0005377372018545959]
may be: [44, 0.3120567375886525]
engaging: [44, 0.0005257874862578271]
beautifully: [44, 0.0005257874862578271]
charm: [44, 0.0005257874862578271]
intelligent: [44, 0.0005257874862578271]
rather: [44, 0.0005257874862578271]
culture: [43, 0.0005138377706610583]
out of: [43, 0.24157303370786518]
enough to: [43, 0.33858267716535434]
down: [42, 0.0005018880550642894]
art: [42, 0.0005018880550642894]
can't: [42, 0.0005018880550642894]
after: [42, 0.0005018880550642894]
there is: [42, 0.3559322033898305]
whose: [41, 0.0004899383394675207]
fans: [41, 0.0004899383394675207]
power: [41, 0.0004899383394675207]
touching: [41, 0.0004899383394675207]
study: [41, 0.0004899383394675207]
dark: [41, 0.0004899383394675207]
had: [40, 0.00047798862387075187]
know: [40, 0.00047798862387075187]
before: [40, 0.00047798862387075187]
thing: [40, 0.00047798862387075187]
delivers: [40, 0.00047798862387075187]
again: [40, 0.00047798862387075187]
with an: [40, 0.045300113250283124]
hard: [39, 0.0004660389082739831]
genre: [39, 0.0004660389082739831]
least: [39, 0.0004660389082739831]
pretty: [39, 0.0004660389082739831]
french: [39, 0.0004660389082739831]
lives: [38, 0.00045408919267721427]
think: [38, 0.00045408919267721427]
than the: [38, 0.1347517730496454]
strong: [38, 0.00045408919267721427]
then: [38, 0.00045408919267721427]
romantic comedy: [38, 0.5205479452054794]
its own: [38, 0.05436337625178827]
script: [38, 0.00045408919267721427]
visual: [38, 0.00045408919267721427]
where: [38, 0.00045408919267721427]
women: [38, 0.00045408919267721427]
war: [38, 0.00045408919267721427]
feature: [38, 0.00045408919267721427]
surprisingly: [38, 0.00045408919267721427]
comic: [38, 0.00045408919267721427]
making: [37, 0.0004421394770804455]
since: [37, 0.0004421394770804455]
deeply: [37, 0.0004421394770804455]
for its: [37, 0.0549777117384844]
face: [37, 0.0004421394770804455]
you can: [37, 0.07489878542510121]
last: [37, 0.0004421394770804455]
terrific: [37, 0.0004421394770804455]
me: [37, 0.0004421394770804455]
although: [37, 0.0004421394770804455]
he's: [36, 0.00043018976148367666]
clever: [36, 0.00043018976148367666]
by a: [36, 0.09473684210526316]
ride: [36, 0.00043018976148367666]
away: [36, 0.00043018976148367666]
be a: [36, 0.08591885441527446]
journey: [36, 0.00043018976148367666]
on a: [36, 0.08490566037735849]
same: [36, 0.00043018976148367666]
funny and: [36, 0.19889502762430938]
say: [36, 0.00043018976148367666]
going: [35, 0.0004182400458869079]
modern: [35, 0.0004182400458869079]
him: [35, 0.0004182400458869079]
special: [35, 0.0004182400458869079]
fine: [35, 0.0004182400458869079]
star: [35, 0.0004182400458869079]
need: [34, 0.0004062903302901391]
fresh: [34, 0.0004062903302901391]
familiar: [34, 0.0004062903302901391]
anyone: [34, 0.0004062903302901391]
under: [34, 0.0004062903302901391]
intriguing: [34, 0.0004062903302901391]
dialogue: [34, 0.0004062903302901391]
show: [34, 0.0004062903302901391]
feels: [34, 0.0004062903302901391]
feeling: [34, 0.0004062903302901391]
enjoy: [34, 0.0004062903302901391]
won't: [34, 0.0004062903302901391]
hilarious: [34, 0.0004062903302901391]
direction: [34, 0.0004062903302901391]
full of: [34, 0.5396825396825397]
about a: [34, 0.09366391184573003]
piece of: [34, 0.5862068965517241]
material: [34, 0.0004062903302901391]
place: [33, 0.0003943406146933703]
honest: [33, 0.0003943406146933703]
minutes: [33, 0.0003943406146933703]
coming-of-age: [33, 0.0003943406146933703]
perfect: [33, 0.0003943406146933703]
may not: [33, 0.23404255319148937]
especially: [33, 0.0003943406146933703]
have been: [33, 0.1274131274131274]
tale of: [33, 0.4125]
each: [33, 0.0003943406146933703]
amusing: [32, 0.0003823908990966015]
as well: [32, 0.03640500568828214]
filmmaker: [32, 0.0003823908990966015]
easy: [32, 0.0003823908990966015]
spirit: [32, 0.0003823908990966015]
now: [32, 0.0003823908990966015]
horror: [32, 0.0003823908990966015]
engrossing: [32, 0.0003823908990966015]
not a: [32, 0.08719346049046321]
narrative: [32, 0.0003823908990966015]
with its: [32, 0.0362400906002265]
wonderful: [32, 0.0003823908990966015]
warm: [32, 0.0003823908990966015]
different: [31, 0.0003704411834998327]
thoughtful: [31, 0.0003704411834998327]
around: [31, 0.0003704411834998327]
there are: [31, 0.2627118644067797]
as an: [31, 0.03526734926052332]
day: [31, 0.0003704411834998327]
quirky: [31, 0.0003704411834998327]
romance: [31, 0.0003704411834998327]
message: [31, 0.0003704411834998327]
satisfying: [31, 0.0003704411834998327]
filmmaking: [31, 0.0003704411834998327]
rich: [31, 0.0003704411834998327]
things: [31, 0.0003704411834998327]
mind: [30, 0.0003584914679030639]
through the: [30, 0.32608695652173914]
recent: [30, 0.0003584914679030639]
complex: [30, 0.0003584914679030639]
psychological: [30, 0.0003584914679030639]
were: [30, 0.0003584914679030639]
adventure: [30, 0.0003584914679030639]
energy: [30, 0.0003584914679030639]
film about: [30, 0.0364963503649635]
if you're: [30, 0.11363636363636363]
seem: [30, 0.0003584914679030639]
home: [30, 0.0003584914679030639]
debut: [30, 0.0003584914679030639]
summer: [30, 0.0003584914679030639]
some of: [29, 0.17682926829268292]
like the: [29, 0.10320284697508897]
at times: [29, 0.07923497267759563]
done: [29, 0.00034654175230629513]
mostly: [29, 0.00034654175230629513]
personal: [29, 0.00034654175230629513]
it's not: [29, 0.051418439716312055]
shows: [29, 0.00034654175230629513]
laughs: [29, 0.00034654175230629513]
matter: [29, 0.00034654175230629513]
she: [29, 0.00034654175230629513]
point: [29, 0.00034654175230629513]
tone: [29, 0.00034654175230629513]
images: [29, 0.00034654175230629513]
not only: [29, 0.07901907356948229]
brilliant: [29, 0.00034654175230629513]
political: [29, 0.00034654175230629513]
proves: [29, 0.00034654175230629513]
three: [29, 0.00034654175230629513]
provides: [28, 0.0003345920367095263]
want to: [28, 0.6222222222222222]
beauty: [28, 0.0003345920367095263]
from a: [28, 0.08022922636103152]
captures: [28, 0.0003345920367095263]
effort: [28, 0.0003345920367095263]
much of: [28, 0.18181818181818182]
simply: [28, 0.0003345920367095263]
help: [28, 0.0003345920367095263]
role: [28, 0.0003345920367095263]
eyes: [28, 0.0003345920367095263]
children: [28, 0.0003345920367095263]
high: [28, 0.0003345920367095263]
quiet: [28, 0.0003345920367095263]
pleasure: [28, 0.0003345920367095263]
have a: [28, 0.10810810810810811]
such a: [28, 0.39436619718309857]
simple: [28, 0.0003345920367095263]
remarkable: [28, 0.0003345920367095263]
if the: [28, 0.10606060606060606]
small: [28, 0.0003345920367095263]
leave: [28, 0.0003345920367095263]
passion: [28, 0.0003345920367095263]
actually: [28, 0.0003345920367095263]
well as: [27, 0.23076923076923078]
everything: [27, 0.0003226423211127575]
gentle: [27, 0.0003226423211127575]
make it: [27, 0.17880794701986755]
stuff: [27, 0.0003226423211127575]
become: [27, 0.0003226423211127575]
wit: [27, 0.0003226423211127575]
bad: [27, 0.0003226423211127575]
nearly: [27, 0.0003226423211127575]
anything: [27, 0.0003226423211127575]
ways: [27, 0.0003226423211127575]
filmmakers: [27, 0.0003226423211127575]
even if: [27, 0.15]
film with: [27, 0.032846715328467155]
witty: [27, 0.0003226423211127575]
mood: [27, 0.0003226423211127575]
version: [27, 0.0003226423211127575]
y: [27, 0.0003226423211127575]
those who: [26, 0.23853211009174313]
turns: [26, 0.0003106926055159887]
stories: [26, 0.0003106926055159887]
movie's: [26, 0.0003106926055159887]
everyone: [26, 0.0003106926055159887]
light: [26, 0.0003106926055159887]
whole: [26, 0.0003106926055159887]
certainly: [26, 0.0003106926055159887]
whether: [26, 0.0003106926055159887]
part of: [26, 0.4406779661016949]
against: [26, 0.0003106926055159887]
level: [26, 0.0003106926055159887]
shot: [26, 0.0003106926055159887]
work of: [26, 0.18705035971223022]
has the: [26, 0.06860158311345646]
effects: [26, 0.0003106926055159887]
sure: [26, 0.0003106926055159887]
can be: [26, 0.1566265060240964]
easily: [26, 0.0003106926055159887]
gorgeous: [26, 0.0003106926055159887]
form: [26, 0.0003106926055159887]
along: [26, 0.0003106926055159887]
memorable: [26, 0.0003106926055159887]
characters and: [26, 0.18055555555555555]
screenplay: [25, 0.0002987428899192199]
care: [25, 0.0002987428899192199]
seeing: [25, 0.0002987428899192199]
so much: [25, 0.11961722488038277]
play: [25, 0.0002987428899192199]
most of: [25, 0.10416666666666667]
book: [25, 0.0002987428899192199]
animated: [25, 0.0002987428899192199]
girl: [25, 0.0002987428899192199]
truly: [25, 0.0002987428899192199]
it's the: [25, 0.044326241134751775]
lot of: [25, 0.4807692307692308]
uses: [25, 0.0002987428899192199]
above: [25, 0.0002987428899192199]
excellent: [25, 0.0002987428899192199]
sad: [25, 0.0002987428899192199]
must: [25, 0.0002987428899192199]
past: [25, 0.0002987428899192199]
examination: [25, 0.0002987428899192199]
examination of: [25, 1.0]
what makes: [25, 0.1111111111111111]
set: [25, 0.0002987428899192199]
up to: [25, 0.16233766233766234]
thanks: [25, 0.0002987428899192199]
directed: [25, 0.0002987428899192199]
but also: [25, 0.0319693094629156]
men: [25, 0.0002987428899192199]
visually: [25, 0.0002987428899192199]
at least: [25, 0.06830601092896176]
camera: [25, 0.0002987428899192199]
epic: [24, 0.00028679317432245114]
perfectly: [24, 0.00028679317432245114]
hard to: [24, 0.6153846153846154]
flick: [24, 0.00028679317432245114]
comedy that: [24, 0.125]
story and: [24, 0.09375]
sharp: [24, 0.00028679317432245114]
surprising: [24, 0.00028679317432245114]
unexpected: [24, 0.00028679317432245114]
put: [24, 0.00028679317432245114]
himself: [24, 0.00028679317432245114]
at its: [24, 0.06557377049180328]
delightful: [24, 0.00028679317432245114]
flaws: [24, 0.00028679317432245114]
believe: [24, 0.00028679317432245114]
what's: [24, 0.00028679317432245114]
knows: [24, 0.00028679317432245114]
serious: [24, 0.00028679317432245114]
probably: [24, 0.00028679317432245114]
for all: [24, 0.03566121842496285]
classic: [24, 0.00028679317432245114]
deep: [24, 0.00028679317432245114]
goes: [24, 0.00028679317432245114]
storytelling: [24, 0.00028679317432245114]
you've: [24, 0.00028679317432245114]
be the: [23, 0.05489260143198091]
vision: [23, 0.0002748434587256823]
effective: [23, 0.0002748434587256823]
why: [23, 0.0002748434587256823]
occasionally: [23, 0.0002748434587256823]
brings: [23, 0.0002748434587256823]
ideas: [23, 0.0002748434587256823]
o: [23, 0.0002748434587256823]
movie with: [23, 0.045098039215686274]
short: [23, 0.0002748434587256823]
it's an: [23, 0.040780141843971635]
michael: [23, 0.0002748434587256823]
among: [23, 0.0002748434587256823]
emotions: [23, 0.0002748434587256823]
makes it: [23, 0.1597222222222222]
strange: [23, 0.0002748434587256823]
inventive: [23, 0.0002748434587256823]
events: [23, 0.0002748434587256823]
impossible: [23, 0.0002748434587256823]
usual: [23, 0.0002748434587256823]
thanks to: [23, 0.92]
not be: [23, 0.06267029972752043]
with such: [23, 0.026047565118912798]
poignant: [23, 0.0002748434587256823]
job: [23, 0.0002748434587256823]
acted: [23, 0.0002748434587256823]
flawed: [23, 0.0002748434587256823]
moral: [23, 0.0002748434587256823]
trying: [23, 0.0002748434587256823]
highly: [23, 0.0002748434587256823]
what it: [22, 0.09777777777777778]
love story: [22, 0.1476510067114094]
ending: [22, 0.00026289374312891354]
que: [22, 0.00026289374312891354]
la: [22, 0.00026289374312891354]
suspense: [22, 0.00026289374312891354]
either: [22, 0.00026289374312891354]
reality: [22, 0.00026289374312891354]
sexual: [22, 0.00026289374312891354]
death: [22, 0.00026289374312891354]
dramatic: [22, 0.00026289374312891354]
told: [22, 0.00026289374312891354]
winning: [22, 0.00026289374312891354]
remains: [22, 0.00026289374312891354]
comedies: [22, 0.00026289374312891354]
has been: [22, 0.05804749340369393]
despite its: [22, 0.4782608695652174]
better than: [22, 0.3333333333333333]
intimate: [22, 0.00026289374312891354]
worthy: [22, 0.00026289374312891354]
audiences: [22, 0.00026289374312891354]
predictable: [22, 0.00026289374312891354]
actor: [22, 0.00026289374312891354]
subtle: [22, 0.00026289374312891354]
truth: [22, 0.00026289374312891354]
appealing: [22, 0.00026289374312891354]
hours: [22, 0.00026289374312891354]
sex: [22, 0.00026289374312891354]
cool: [22, 0.00026289374312891354]
nice: [21, 0.0002509440275321447]
story that: [21, 0.08203125]
lacks: [21, 0.0002509440275321447]
unique: [21, 0.0002509440275321447]
film of: [21, 0.025547445255474453]
animation: [21, 0.0002509440275321447]
refreshing: [21, 0.0002509440275321447]
pure: [21, 0.0002509440275321447]
on its: [21, 0.049528301886792456]
important: [21, 0.0002509440275321447]
force: [21, 0.0002509440275321447]
boy: [21, 0.0002509440275321447]
likely: [21, 0.0002509440275321447]
keeps: [21, 0.0002509440275321447]
impressive: [21, 0.0002509440275321447]
one that: [21, 0.05737704918032787]
makes the: [21, 0.14583333333333334]
looking: [21, 0.0002509440275321447]
if it: [21, 0.07954545454545454]
melodrama: [21, 0.0002509440275321447]
theater: [21, 0.0002509440275321447]
story of: [21, 0.08203125]
got: [21, 0.0002509440275321447]
reveals: [21, 0.0002509440275321447]
creates: [21, 0.0002509440275321447]
entirely: [21, 0.0002509440275321447]
others: [21, 0.0002509440275321447]
bring: [21, 0.0002509440275321447]
creative: [21, 0.0002509440275321447]
found: [21, 0.0002509440275321447]
trying to: [21, 0.9130434782608695]
could have: [21, 0.25]
genuine: [20, 0.00023899431193537594]
masterpiece: [20, 0.00023899431193537594]
disturbing: [20, 0.00023899431193537594]
way to: [20, 0.12195121951219512]
would be: [20, 0.2702702702702703]
turn: [20, 0.00023899431193537594]
series: [20, 0.00023899431193537594]
novel: [20, 0.00023899431193537594]
slow: [20, 0.00023899431193537594]
absorbing: [20, 0.00023899431193537594]
viewers: [20, 0.00023899431193537594]
riveting: [20, 0.00023899431193537594]
close: [20, 0.00023899431193537594]
process: [20, 0.00023899431193537594]
memory: [20, 0.00023899431193537594]
completely: [20, 0.00023899431193537594]
relationships: [20, 0.00023899431193537594]
otherwise: [20, 0.00023899431193537594]
nature: [20, 0.00023899431193537594]
just as: [20, 0.13513513513513514]
somewhat: [20, 0.00023899431193537594]
treat: [20, 0.00023899431193537594]
at a: [20, 0.0546448087431694]
particularly: [20, 0.00023899431193537594]
definitely: [20, 0.00023899431193537594]
imagination: [20, 0.00023899431193537594]
live: [20, 0.00023899431193537594]
fantasy: [20, 0.00023899431193537594]
able: [20, 0.00023899431193537594]
able to: [20, 1.0]
appeal: [20, 0.00023899431193537594]
up for: [20, 0.12987012987012986]
rarely: [20, 0.00023899431193537594]
tragedy: [20, 0.00023899431193537594]
you don't: [20, 0.04048582995951417]
fairly: [20, 0.00023899431193537594]
adaptation: [20, 0.00023899431193537594]
unsettling: [20, 0.00023899431193537594]
than a: [20, 0.07092198581560284]
contemporary: [20, 0.00023899431193537594]
perhaps: [19, 0.00022704459633860713]
refreshingly: [19, 0.00022704459633860713]
because it: [19, 0.25]
captures the: [19, 0.6785714285714286]
sensitive: [19, 0.00022704459633860713]
should be: [19, 0.2835820895522388]
year's: [19, 0.00022704459633860713]
will be: [19, 0.09547738693467336]
ability: [19, 0.00022704459633860713]
imax: [19, 0.00022704459633860713]
possible: [19, 0.00022704459633860713]
sequel: [19, 0.00022704459633860713]
magic: [19, 0.00022704459633860713]
social: [19, 0.00022704459633860713]
urban: [19, 0.00022704459633860713]
welcome: [19, 0.00022704459633860713]
half: [19, 0.00022704459633860713]
age: [19, 0.00022704459633860713]
friendship: [19, 0.00022704459633860713]
i'm: [19, 0.00022704459633860713]
becomes: [19, 0.00022704459633860713]
throughout: [19, 0.00022704459633860713]
david: [19, 0.00022704459633860713]
humor and: [19, 0.2345679012345679]
have to: [19, 0.07335907335907337]
seems to: [19, 0.3877551020408163]
film has: [19, 0.023114355231143552]
read: [19, 0.00022704459633860713]
see it: [19, 0.19791666666666666]
looks: [19, 0.00022704459633860713]
subject matter: [19, 0.4222222222222222]
relationship: [19, 0.00022704459633860713]
second: [19, 0.00022704459633860713]
colorful: [19, 0.00022704459633860713]
instead: [19, 0.00022704459633860713]
skin: [19, 0.00022704459633860713]
haunting: [19, 0.00022704459633860713]
insight: [18, 0.00021509488074183833]
game: [18, 0.00021509488074183833]
quality: [18, 0.00021509488074183833]
air: [18, 0.00021509488074183833]
working: [18, 0.00021509488074183833]
lovely: [18, 0.00021509488074183833]
disney: [18, 0.00021509488074183833]
happy: [18, 0.00021509488074183833]
ensemble: [18, 0.00021509488074183833]
triumph: [18, 0.00021509488074183833]
while the: [18, 0.14634146341463414]
female: [18, 0.00021509488074183833]
finally: [18, 0.00021509488074183833]
exactly: [18, 0.00021509488074183833]
way that: [18, 0.10975609756097561]
style and: [18, 0.391304347826087]
parents: [18, 0.00021509488074183833]
certain: [18, 0.00021509488074183833]
intelligence: [18, 0.00021509488074183833]
as much: [18, 0.020477815699658702]
gripping: [18, 0.00021509488074183833]
plays: [18, 0.00021509488074183833]
affecting: [18, 0.00021509488074183833]
hit: [18, 0.00021509488074183833]
middle: [18, 0.00021509488074183833]
issues: [18, 0.00021509488074183833]
given: [18, 0.00021509488074183833]
emotionally: [18, 0.00021509488074183833]
hope: [18, 0.00021509488074183833]
written: [18, 0.00021509488074183833]
vivid: [18, 0.00021509488074183833]
themselves: [18, 0.00021509488074183833]
their own: [18, 0.10285714285714286]
artist: [18, 0.00021509488074183833]
story is: [18, 0.0703125]
earnest: [18, 0.00021509488074183833]
inside: [18, 0.00021509488074183833]
woman: [18, 0.00021509488074183833]
film to: [18, 0.021897810218978103]
black: [18, 0.00021509488074183833]
power of: [18, 0.43902439024390244]
thought: [18, 0.00021509488074183833]
considerable: [18, 0.00021509488074183833]
ambitious: [18, 0.00021509488074183833]
going to: [17, 0.4857142857142857]
eye: [17, 0.00020314516514506956]
provocative: [17, 0.00020314516514506956]
amazing: [17, 0.00020314516514506956]
grant: [17, 0.00020314516514506956]
make the: [17, 0.11258278145695365]
e: [17, 0.00020314516514506956]
es: [17, 0.00020314516514506956]
case: [17, 0.00020314516514506956]
begins: [17, 0.00020314516514506956]
would have: [17, 0.22972972972972974]
pleasant: [17, 0.00020314516514506956]
living: [17, 0.00020314516514506956]
felt: [17, 0.00020314516514506956]
us to: [17, 0.10897435897435898]
view: [17, 0.00020314516514506956]
thoroughly: [17, 0.00020314516514506956]
filled: [17, 0.00020314516514506956]
allows: [17, 0.00020314516514506956]
idea: [17, 0.00020314516514506956]
head: [17, 0.00020314516514506956]
gem: [17, 0.00020314516514506956]
scene: [17, 0.00020314516514506956]
film but: [17, 0.02068126520681265]
soul: [17, 0.00020314516514506956]
realistic: [17, 0.00020314516514506956]
